Real number,AutoVision Recognized Number,GTS Recognized Number,AutoVision Success,GTS Success,AutoVision Processing Time (seconds)
O1454AL,O1454AL,01454AL,1,0,0.92
02KG900ABI,02KG900ABI,02900ABI,1,1,0.92
06KG833AIV,06KG833AIV,06833AIV,1,1,0.84
244BQ,244BQ,244BBQ,1,0,1.63
01D194VB,01D194VB,Not detect,1,0,1.18
S3308AY,S3308AY,Not detect,1,0,0.99
05KG758ACC,05KG758ACC,05758ACC,1,1,0.88
06KG382AC,06KG382AC,06382AC,1,1,1.02
60500CBA,60500CBA,Not detect,1,0,2.15
O0194AZ,O0194AZ,Not detect,1,0,0.97
06KG722AHP,06KG722AHP,Not detect,1,0,0.96
06KG588ABB,06KG588ABB,06KG588ABB,1,0,0.94
0554BA4O,0554BAZO,0554BA##40,0,0,3.21
03KG422ADN,03KG422ADN,Not detect,1,0,0.95
新A95675,新A95675,A95675,1,0,1.45
05KG829AAH,05KG829AAH,05829AAH,1,1,0.84
50V886BA,50V886BA,Not detect,1,0,1.07
2810AA60,2810AA60,Not detect,1,0,3.05
06KG233ADH,06KG233ADH,Not detect,1,0,0.97
03KG630ADB,03KG630ADB,03630ADB,1,1,0.99
09KG598AES,09KG598AES,Not detect,1,0,0.89
01KG341ANI,01KG341ANI,08341ANI,1,0,0.97
01KG560ABF,01KG560ABF,Not detect,1,0,0.94
40H426RA,40H426RA,Not detect,1,0,1.05
8953AA40,8953AA40,Not detect,1,0,1.46
08KG212ACK,08KG21204ACK,0822CKC,0,0,1.36
01KG789AOE,01KG789AOE,01789AOE,1,1,0.85
80009NAA,80009NAA,80009NAA,1,1,1.04
05KG534ACG,05KG534ACG,05534ACG,1,1,0.88
08KG428ANE,08KG428ANE,08428ANE,1,1,0.88
04KG207AEA,04KG207AEA,04207AEA,1,1,1.05
08KG147AA,08KG147AA,08147AA,1,1,0.83
新P529挂,新P529挂,PP52911,1,0,1.33
03KG319ACN,03KG319ACN,Not detect,1,0,0.92
新AF4298,新AF4298,AF4298,1,0,1.31
40L681YA,40L681YA,Not detect,1,0,1.03
50K208VA,50K208VA,Not detect,1,0,1.05
01KG348AG,01KG348AG,Not detect,1,0,0.88
08KG709ANM,08KG709ANM,08709ANM,1,1,0.85
04KG504AEO,04KG504AEO,0404###,1,0,3.75
08KG653AAE,08KG653AAE,08653AAE,1,1,1.16
06KG839AJG,06KG839AJG,06833AIV,1,0,0.88
01KG394AKM,01KG394AKM,01394AKM,1,1,0.9
09KG503AAN,09KG503AAN,09503AAN,1,1,0.95
新AA5619,新AA5619,AA5619,1,0,1.38
06KG889AGY,06KG889AGY,06889AGY,1,1,0.9
02KG977ABD,BI974BO,02977ABD,0,1,1.1
新P14433,新P14433,PI4433,1,0,1.42
06KG308AJW,06KG308AJW,06308AJW,1,1,0.92
01KG575AIZ,01KG575AIZKE,0157,0,0,1.45
02KG786AD,02KG786AD,Not detect,1,0,1.03
03KG219ABO,03KG219ABO,Not detect,1,0,0.94
03KG804AAJ,03KG804AAJ,Not detect,1,0,0.97
06KG773AID,06KG773AID,06773AID,1,1,1.06
01KG813AEY,01KG813AEY,01813AEY,1,1,0.91
50C973MA,50C973MA,50C973MA,1,1,1.03
06KG245AJW,06KG245AJW,06245AJW,1,1,0.93
01KG548ANK,01KG548ANK,01548ANK,1,1,0.89
新AC0873,新AC0873,Not detect,1,0,1.48
08KG472AAB,08KG472AAB,0827ABA,1,0,1.34
06KG076AJD,06KG076AJD,06076AJD,1,1,0.93
06KG719ADH,06KG719ADH,06719ADH,1,1,0.92
06KG610AAL,06KG610AAL,06KG610AAL,1,0,0.9
40V580SA,40V580SA,Not detect,1,0,1.04
Z5317Z,Z5317Z,Z5317Z,1,1,0.87
40L354AA,40L354AA,Not detect,1,0,1.04
新Q40431,新Q40431,Q4043I,1,0,1.47
06KG970PD,06KG970PD,970PPD,1,0,4.23
04KG571AEN,04KG571AEN,04571AEN,1,1,0.9
S3522AC,S3522AC,S3522AC,1,1,1.01
06KG178AJW,06KG178AJW,06178AJW,1,1,0.89
S8817N,S8817N,S8817N,1,1,0.88
03KG267PC,3267PC,Not detect,0,0,4.16
08KG731PG,8731PG,Not detect,0,0,1.67
06KG488ABB,06KG488ABB,06488ABB,1,1,0.95
01KG257ANT,01KG257ANT,01257ANT,1,1,0.87
40K487MA,40K487MA,Not detect,1,0,1.07
40Q467XA,40Q467XA,40Q467XA,1,1,0.94
06KG281AJM,02KG81AJM,06281AJM,0,1,0.97
02KG504ACL,02KG504ACL,02504ACL,1,1,0.97
40S614EA,40S614EA,40Q753ZA,1,0,1.04
06KG392AEG,06KG392AEG,06392AEG,1,1,1.02
60C085RA,60C085RA,Not detect,1,0,1.01
新Q39885,新Q39885,Q39885,1,0,1.42
09KG157AEL,09KG157AEL,09157AEL,1,1,0.9
60910MBA,60910MBA,Not detect,1,0,1.06
01KG700HON,01KG700HON,01700HON,1,1,0.86
